rank,feature,score,p_value
1,142.766562207031,585.1762724137492,1.8642451039151744e-118
2,255.537558300781,554.3231054149965,8.498372851538622e-113
3,143.030997021484,491.33258902298087,4.3230948687621237e-101
4,142.624640209961,483.28384995054665,1.4019820038378934e-99
5,283.260611279297,458.30904143701065,7.201027939234031e-95
6,113.088675244141,445.3241196547188,2.0892701151422814e-92
7,112.855726940918,432.1061929850425,6.860057724757532e-90
8,113.023337109375,423.2300646718922,3.400523949850588e-88
9,143.106940014648,416.24782521398043,7.38161309665498e-87
10,113.363295300293,412.18358100229614,4.44044901745195e-86
11,185.060965283203,387.529211356723,2.481259214751534e-81
12,192.52146027832,384.5550340460872,9.326038646154217e-81
13,560.249228222656,374.3273029357817,8.93305657183178e-79
14,112.575201733398,371.88436997070374,2.661552077657609e-78
15,192.990668041992,371.247618020307,3.5381420661062297e-78
16,282.68520234375,362.25145452653766,1.9865812672993223e-76
17,255.233145458984,334.2613461236808,5.904599505160177e-71
18,112.677366955566,333.6107619008935,7.924177120372592e-71
19,193.067511303711,332.56803020233804,1.2699353621772856e-70
20,283.533011181641,330.3273555676278,3.50061642216342e-70
21,184.070334179688,330.2566616523976,3.614456273588534e-70
22,127.880064709473,295.6917643526995,2.452352185123347e-63
23,185.39826081543,288.85289302445307,5.621733171798219e-62
24,271.553030712891,271.3596964854451,1.748000084694992e-58
25,319.122580273438,258.983210940833,5.311175776607409e-56
26,127.72955201416,246.6216443711752,1.638882497203418e-53
27,113.594580395508,229.17630739034618,5.551303164546601e-50
28,283.122732861328,220.928970969683,2.6305624334479494e-48
29,264.101553662109,220.71730040723426,2.904783291676139e-48
30,417.629965527344,219.41975024317767,5.335432105642652e-48
31,238.083349926758,215.5338352921711,3.300907053093568e-47
32,152.051352246094,212.51140491187437,1.3643326603451545e-46
33,390.156973583984,209.6557491444319,5.22108652400973e-46
34,241.620306713867,208.56226095944513,8.731457099794813e-46
35,271.114432080078,206.86710451786476,1.9384349396288453e-45
36,276.111777050781,205.40284449215417,3.8618281614978705e-45
37,241.098440869141,203.47819922146965,9.560303361070066e-45
38,184.893805249023,199.0841064857113,7.589337445531351e-44
39,388.160910351563,199.05011022089917,7.712053235368395e-44
40,560.593527539063,188.23337731411198,1.281217475458364e-41
41,289.395193798828,185.77868499405412,4.0986287950122375e-41
42,272.0899875,183.26663107244505,1.348612097330511e-40
43,559.628805859375,181.3764795478512,3.3065146762543185e-40
44,117.20970032959,180.4398653084825,5.1577550062901855e-40
45,117.019064648438,180.39849544516616,5.260061669359433e-40
46,151.834204418945,180.09120726914972,6.086321289118546e-40
47,143.560614331055,178.9101249336078,1.0664980887575085e-39
48,128.0353,177.03518331713147,2.5994304651517e-39
49,290.113425,172.0408477782347,2.797228155416065e-38
50,116.556433422852,169.2317931652592,1.0662616772749564e-37
51,220.069006665039,169.04049134792749,1.168047734902004e-37
52,417.169668896484,167.57203127740718,2.3523281210878523e-37
53,312.139548046875,164.7647214692909,8.977706644989676e-37
54,193.677038891602,163.20092024304333,1.894199503549345e-36
55,116.928236706543,162.38285604912423,2.7997837861798225e-36
56,279.241629345703,158.6769235056639,1.646210500662067e-35
57,133.279562695313,156.6762511196782,4.287886156698911e-35
58,473.211996777344,146.5768666552364,5.438247031191771e-33
59,359.133078320313,146.54025624488477,5.534734805448724e-33
60,255.102270825195,145.0894910344012,1.1113339588887153e-32
61,254.10871003418,142.66391126450483,3.5675434862188246e-32
62,334.132315380859,141.00558284302917,7.923660594041789e-32
63,270.797476513672,138.82392946535558,2.2654922774591586e-31
64,253.903052075195,137.48781949472965,4.312744083048802e-31
65,335.132712109375,136.54846714997046,6.7826833798865246e-31
66,192.067007763672,135.22840638730347,1.2819238858409453e-30
67,445.185843212891,134.1505015612304,2.1562894357749343e-30
68,447.193381054688,133.02954470857577,3.7039647052787054e-30
69,116.218344433594,131.0329014356505,9.71440136011563e-30
70,641.293234570313,130.85327611010555,1.0595058632614578e-29
71,264.308005078125,130.47155072448507,1.2740948286836787e-29
72,181.067511303711,130.21510452807857,1.442177929525313e-29
73,240.786856396484,129.97892259688726,1.6165451947968148e-29
74,149.035589916992,127.64141040910414,5.0050753971321765e-29
75,452.188376171875,124.69472107571062,2.083319657875432e-28
76,116.024107678223,124.6170510002704,2.163167367896519e-28
77,284.281943066406,123.38301921839377,3.932548677538063e-28
78,318.804312451172,122.42523203332897,6.255068372142985e-28
79,262.098166210938,121.3025185496003,1.077929264688764e-27
80,140.674414379883,121.23818656220342,1.112081817337677e-27
81,242.681708081055,119.14869282848474,3.0641115531558667e-27
82,163.050940258789,118.54668565249624,4.103808350290577e-27
83,487.211233837891,118.2883880241644,4.6519637633384865e-27
84,142.043036206055,117.25237659894749,7.692759489116017e-27
85,390.517142041016,117.07184050023811,8.397646167855979e-27
86,191.576224072266,116.95429543864715,8.89097678310188e-27
87,430.17983125,116.40417794147032,1.1614269184547206e-26
88,157.121649487305,115.55096443244764,1.7579980849459562e-26
89,209.085440380859,113.2516354120178,5.376117731072627e-26
90,243.074331982422,112.23759047780948,8.804384410888782e-26
91,193.885184033203,112.22874760673415,8.842346740852275e-26
92,157.044607861328,110.7014198141115,1.8595036158542838e-25
93,166.873373730469,109.76120957065437,2.939168746521017e-25
94,180.830557568359,108.17394887971734,6.3687204976043e-25
95,447.405600292969,108.0992414199664,6.6048622792909805e-25
96,243.119040234375,107.524416453551,8.740558770108811e-25
97,208.845617993164,106.33341076196001,1.5621858246432545e-24
98,178.059332592773,105.7228678545254,2.104072515408339e-24
99,141.935660107422,105.5699216047402,2.2670622199048597e-24
100,156.462485058594,105.43864149014851,2.4170055026208684e-24
